,pid,saleprice
149,535302080,135000
150,535302200,122500
151,535304060,119000
152,535304180,109000
153,535325400,105000
154,535327140,107500
155,535350030,144900
156,535350040,129000
157,535353190,97500
158,535377090,144000
159,535401080,162000
160,535425010,242000
161,535450210,132000
162,535453070,154000
163,535454070,166000
164,535456110,134800
165,535457010,160000
166,535457090,148000
167,535476350,192000
168,535477020,155000
169,902102100,80400
170,902104060,96500
171,902106130,109500
172,902106140,115000
173,902110090,143000
174,902125080,107400
175,902125160,80000
176,902128170,119000
177,902206040,130000
178,902206130,119000
179,902206220,129000
180,902206240,100000
181,902207130,12789
182,902207140,105900
183,902305110,150000
184,902327040,139000
185,902329030,240000
186,902401060,76500
187,902402010,149700
188,902402130,125500
189,902402250,122500
190,902403070,140750
191,903204040,128500
192,903206120,209500
193,903225150,87000
194,903226160,134000
195,903227020,128000
196,903227150,132000
197,903228150,139900
198,903232190,123900
199,903233120,138400
200,903234050,109500
201,903425110,140000
202,903426180,149500
203,903426200,159900
204,903430080,122000
205,903450110,110000
206,903454060,55000
207,903476030,140000
208,904100140,244400
209,904101110,173000
210,904300150,107500
211,904302260,100000
212,904350045,95000
213,904351040,93369
214,904352190,114900
215,905101100,94000
216,905101300,136000
217,905101310,136500
218,905102060,131500
219,905103060,121500
220,905104210,125000
221,905105070,154000
222,905105200,137900
223,905106140,158000
224,905106170,137250
225,905107110,160250
226,905107250,163000
227,905107320,158900
228,905109130,328000
229,905109170,270000
230,905201030,85000
231,905202090,128000
232,905325030,260000
233,905352140,230000
234,905378040,124000
235,905426060,83000
236,905426200,144500
237,905451320,129000
238,905452110,127000
239,905452160,128000
240,905453040,186000
241,905453080,308030
242,905475510,114000
243,905478190,84900
244,906201030,178000
245,906201120,270000
246,906204230,218000
247,906223090,236000
248,906225210,147000
249,906378100,245350
250,906380190,206000
251,906385010,198900
252,906385020,187000
253,906402200,320000
254,906425045,138500
255,906477110,155000
256,907125090,159000
257,907180050,191000
258,907185060,200500
259,907200280,150000
260,907200290,161750
261,907200340,128200
262,907203070,127000
263,907250030,318000
264,907252120,272000
265,907262050,237000
266,907280040,240000
267,907290040,224900
268,907290170,143750
269,907290240,143000
270,907401090,232000
271,907410080,213000
272,907414030,185500
273,908102060,84900
274,908102110,155891
275,908102130,100000
276,908102170,144000
277,908102300,64000
278,908103350,125200
279,908152080,107000
280,908203100,90000
281,908208020,140000
282,908225320,113000
283,908226130,80000
284,908275300,144500
285,909100080,104000
286,909100110,128000
287,909101070,58500
288,909176140,127000
289,909176150,126000
290,909177100,160000
291,909250030,100000
292,909250060,169000
293,909281080,257500
294,909426080,215000
295,909427230,266500
296,909428280,335000
297,909452114,203135
298,909455030,185000
299,909455040,162500
300,909475140,289000
301,910202060,125500
302,910203250,82000
303,910205120,110000
304,911128180,68400
305,911202100,102776
306,911204090,55993
307,911204100,50138
308,911370510,246000
309,914467040,254900
310,914475090,190000
311,914476520,201000
312,914478045,169900
313,914478110,170000
314,916125360,160000
315,916386010,220000
316,916386020,179781
317,916386060,174000
318,916386090,269500
319,916455170,214900
320,916475110,202900
321,921128020,378500
322,923201020,169000
323,923202105,173500
324,923204150,139000
325,923205015,166500
326,923225300,83500
327,923225390,119500
328,923225440,85000
329,923226250,76000
330,923226320,75500
331,923228270,88250
332,923228370,85500
333,923230190,130000
334,923251080,157900
335,923276030,149900
336,923276250,159000
337,923426070,136000
338,924100050,161000
339,924151040,285000
340,924152030,231000
341,526302110,124500
342,526351100,157000
343,526355080,345000
344,527105070,189500
345,527105130,270000
346,527107130,189000
347,527108070,377500
348,527110020,168500
349,527127100,375000
350,527131030,278000
351,527132090,240000
352,527146010,239500
353,527161040,177500
354,527162110,185000
355,527162120,191000
356,527163040,178000
357,527163070,185000
358,527163130,181316
359,527164020,166000
360,527164060,178000
361,527164090,174000
362,527165130,173000
363,527166010,225000
364,527180100,180500
365,527182110,187500
366,527214050,501837
367,527254020,372500
368,527258020,260000
369,527276160,185000
370,527301320,260000
371,527302175,181000
372,527326040,82500
373,527326150,215000
374,527352150,154000
375,527353020,200000
376,527353060,249000
377,527354100,187500
378,527354200,184000
379,527355150,278000
380,527356040,157000
381,527359050,152000
382,527359180,197500
383,527364030,240900
384,527365030,263435
385,527366030,220000
386,527368010,235000
387,527375100,213000
388,527375180,167900
389,527375210,158000
390,527376100,165000
391,527378140,158000
392,527401160,136000
393,527402220,148500
394,527403040,156000
395,527404020,128000
396,527404030,143000
397,527405130,76500
398,527405160,120500
399,527405180,124500
400,527425060,97000
401,527425110,130000
402,527450280,111000
403,527451110,125000
404,527451320,112000
405,527451540,97000
406,527451640,118000
407,527451650,119500
408,527452060,143750
409,527453050,146000
410,527453060,148500
411,527453140,123000
412,527454050,147000
413,527454130,137900
414,527455050,147000
415,527455060,148500
416,527455080,138000
417,527455090,128500
418,527455240,100000
419,527455280,148800
420,528102040,337500
421,528102140,462000
422,528104070,485000
423,528106020,555000
424,528106070,325000
425,528108010,256300
426,528108020,253293
427,528108040,398800
428,528108070,335000
429,528108130,404000
430,528108140,402861
431,528110010,451950
432,528110020,610000
433,528110090,582933
434,528112040,360000
435,528116010,296000
436,528118060,409900
437,528120020,255500
438,528120030,335000
439,528120160,274900
440,528120170,300000
441,528138010,324000
442,528142040,350000
443,528142090,280000
444,528142130,284000
445,528142150,269500
446,528144020,233170
447,528166060,386250
448,528166090,445000
449,528168030,290000
450,528172060,255900
451,528174050,213000
452,528174060,196000
453,528174070,184500
454,528175050,212500
455,528175060,230000
456,528176030,552000
457,528178010,382500
458,528180120,320000
459,528180130,248500
460,528186010,286500
461,528186180,254000
462,528188020,173000
463,528188060,173000
464,528218090,184000
465,528220040,167800
466,528221060,174000
467,528221070,174000
468,528228290,174000
469,528228295,175900
470,528228435,192500
471,528228450,181000
472,528228455,180000
473,528228460,160200
474,528235010,188500
475,528235090,200000
476,528235200,170000
477,528240030,189500
478,528240060,184100
479,528240150,195500
480,528250020,192000
481,528250040,178000
482,528253010,207500
483,528275070,236000
484,528275160,257500
485,528280230,244000
486,528290030,167000
487,528290120,179000
488,528290180,190000
489,528290190,156000
490,528292030,245000
491,528292040,181000
492,528292070,214000
493,528294050,168000
494,528315090,337000
495,528321010,403000
496,528327070,327000
497,528344040,340000
498,528344100,336000
499,528354050,265000
500,528363050,315000
501,528365070,260000
502,528385050,260000
503,528387030,263550
504,528390100,402000
505,528390210,248000
506,528427020,244600
507,528431020,275000
508,528431070,257500
509,528435030,287090
510,528435050,275500
511,528439060,245000
512,528441020,253000
513,528441090,468000
514,528456180,252678
515,528456220,210000
516,528456240,208300
517,528458020,225000
518,528458040,229456
519,528458060,229800
520,528458140,250000
521,528458160,370878
522,528458180,238500
523,528477050,310000
524,528477070,270000
525,528480040,252000
526,528480130,241000
527,528480170,264500
528,528482040,291000
529,528482130,263000
530,528488100,185000
531,528490040,234500
532,528490070,209000
533,531363010,159000
534,531363030,152000
535,531363050,143500
536,531369010,193000
537,531369020,203000
538,531371050,184900
539,531375040,159000
540,531375090,142000
541,531375130,153000
542,531376090,224243
543,531379050,220000
544,531382070,257000
545,531385020,189000
546,531450120,171500
547,531452010,120000
548,531452070,145000
549,531452260,184000
550,531453100,162000
551,531475220,160000
552,531477020,82000
553,531479020,76000
554,532353020,110000
555,532353130,135000
556,532354160,141000
557,532354230,122000
558,532376070,124100
559,532376110,129000
560,532377130,131400
561,532378120,62383
562,532378180,123000
563,532478020,275000
564,533135020,235000
565,533206020,280750
566,533210010,164500
567,533210020,173733
568,533213010,222000
569,533213020,195000
570,533213040,172500
571,533221040,180000
572,533223030,156000
573,533236050,172500
574,533252040,318750
575,533253070,211500
576,533254050,241600
577,533254110,180500
578,533352150,150000
579,534125080,154000
580,534127130,185000
581,534127170,185750
582,534128010,200000
583,534128020,206000
584,534128100,162000
585,534128190,256900
586,534129080,197900
587,534129370,163000
588,534129380,113000
589,534151120,230000
590,534152120,167900
591,534175080,213250
592,534177230,227000
593,534200030,130000
594,534202170,143000
595,534226120,117500
596,534250400,168500
597,534251030,172500
598,534252240,161500
599,534275060,141500
600,534275100,118000
601,534276040,127500
602,534277090,140000
603,534278070,177625
604,534278230,110000
605,534400050,167000
606,534400290,153000
607,534402060,145100
608,534402140,154000
609,534402170,177500
610,534403370,158000
611,534426110,124500
612,534429150,174500
613,534431130,122000
614,534450150,82500
615,534451110,110000
616,534475185,149500
617,534475250,175000
618,534476150,167000
619,534476320,128900
620,534477110,140000
621,534478230,147000
622,535101120,124000
623,535104120,187500
624,535105100,159000
625,535125070,256000
626,535125090,205000
627,535126010,193500
628,535126100,110000
629,535150070,104900
630,535151040,150000
631,535152230,156500
632,535154060,176000
633,535154130,149500
634,535175030,139000
635,535175050,155000
636,535178040,120000
637,535178120,153000
638,535179160,144000
639,535300120,176000
640,535301170,153000
641,535302120,135000
642,535303110,131000
643,535303150,123000
644,535304100,126000
645,535325290,115000
646,535351050,164900
647,535352090,113000
648,535353040,145500
649,535353060,102900
650,535353140,95000
651,535353240,152500
652,535354070,129900
653,535354100,132000
654,535375010,99900
655,535375050,135000
656,535376060,149000
657,535377150,114000
658,535378020,109500
659,535378120,125000
660,535381040,142900
661,535382100,156500
662,535383060,59000
663,535383070,105000
664,535383110,106000
665,535383120,78500
666,535402010,190000
667,535402090,154000
668,535402270,163000
669,535402330,200000
670,535403190,143500
671,535403210,135000
672,535403280,153000
673,535425070,157500
674,535426150,113500
675,535450070,133000
676,535450160,92900
677,535450200,128500
678,535451170,90000
679,535451250,138000
680,535452090,128000
681,535452100,139000
682,535452140,118900
683,535453100,138000
684,535453200,132500
685,535454100,133500
686,535454160,135000
687,535475010,144750
688,535476110,145000
689,535476240,127000
690,535477150,109500
691,902101010,115000
692,902102080,110000
693,902103100,128900
694,902103120,103500
695,902103170,66500
696,902105050,130000
697,902105060,129000
698,902106010,150000
699,902106060,107500
700,902109130,94550
701,902109140,124500
702,902110080,135000
703,902134120,103000
704,902135020,93000
705,902201110,129500
706,902202150,93000
707,902204080,80000
708,902205010,45000
709,902205030,37900
710,902206260,91300
711,902207170,99500
712,902300090,113000
713,902301060,87500
714,902301080,110000
715,902325070,106000
716,902326030,265979
717,902327070,160000
718,902329080,119000
719,902330040,168000
720,902331010,58500
721,902401130,143000
722,902402150,85000
723,902405100,124900
724,902405120,119000
725,902406070,146500
726,902477120,34900
727,902477130,44000
728,903200080,223500
729,903201020,149000
730,903201080,205000
731,903202170,137000
732,903205040,121000
733,903226130,128000
734,903226170,134900
735,903227070,117000
736,903227090,132500
737,903228070,93000
738,903228120,119000
739,903230100,100000
740,903231010,141500
741,903231030,133000
742,903231060,60000
743,903231130,105000
744,903232060,115000
745,903234220,150000
746,903236040,126500
747,903400220,214500
748,903425245,167500
749,903427120,155000
750,903429080,155000
751,903429110,179900
752,903430060,104000
753,903430070,62500
754,903451090,149000
755,903458170,103000
756,903475100,123000
757,903476090,97500
758,903481120,135000
759,903481130,70000
760,903484110,116000
761,904100190,88750
762,904301060,179000
763,904301070,179000
764,904301100,159900
765,904301375,61000
766,904351200,103600
767,904351240,63000
768,905101260,175000
769,905101490,139000
770,905103040,172500
771,905103070,113500
772,905105190,130000
773,905107310,149900
774,905108190,134900
775,905108220,137000
776,905200220,139000
777,905200260,165000
778,905200350,148000
779,905225090,165000
780,905228050,63900
781,905229040,161500
782,905325020,143000
783,905377010,135000
784,905377130,82500
785,905401100,190000
786,905402060,139600
787,905402070,122000
788,905450020,127500
789,905451300,121500
790,905451340,60000
791,905452040,154400
792,905452050,113000
793,905475160,125000
794,905475500,84000
795,905476230,139500
796,905478030,131000
797,905480030,105000
798,905480210,108000
799,906201021,162000
800,906201050,156500
801,906201130,316600
802,906203120,271900
803,906223060,213000
804,906223080,239900
805,906223210,239500
806,906226060,131000
807,906226070,118964
808,906226080,153337
809,906226090,147983
810,906226100,118858
811,906226110,118858
812,906226120,142953
813,906226130,148325
814,906226140,113722
815,906230010,269500
816,906230020,269500
817,906230030,269500
818,906340100,323262
819,906340110,297000
820,906340120,295493
821,906340130,332000
822,906378110,239900
823,906380050,212000
824,906380060,272500
825,906380100,239000
826,906380130,220000
827,906380210,200000
828,906380220,221800
829,906392070,194500
830,906392110,237000
831,906392130,173000
832,906402060,275000
833,906426210,233500
834,906475070,185000
835,907126010,152000
836,907126050,143000
837,907130100,231500
838,907131090,212000
839,907131190,207000
840,907135040,145000
841,907135170,138000
842,907175100,197900
843,907180130,204000
844,907181100,192000
845,907185050,200000
846,907192030,195000
847,907192090,227000
848,907194010,230000
849,907194110,187100
850,907194160,203000
851,907196060,201000
852,907200230,124000
853,907201220,140000
854,907201280,134900
855,907202050,150500
856,907202080,136500
857,907202130,143500
858,907227030,133500
859,907227080,123000
860,907227110,133900
861,907227290,133000
862,907250070,250000
863,907252060,254750
864,907252210,236500
865,907252220,261500
866,907253130,313000
867,907260030,198500
868,907265010,211000
869,907275010,220000
870,907275090,203000
871,907275140,279500
872,907280170,210000
873,907285020,219500
874,907285050,191000
875,907290070,178000
876,907290090,213000
877,907290180,144000
878,907290210,140000
879,907410130,293200
880,907412020,190000
881,907414020,190000
882,907414080,173500
883,907420040,170000
884,908102050,108000
885,908102270,167000
886,908102290,100000
887,908128060,198500
888,908151050,159500
889,908152035,127000
890,908152100,125000
891,908154040,320000
892,908186080,145500
893,908201040,118000
894,908203090,85000
895,908225290,120000
896,908225370,98000
897,908229020,99900
898,908250030,82000
899,908275040,119900
900,908275110,103500
901,908276150,112000
902,909101010,110000
903,909101100,122000
904,909101140,117000
905,909129090,160000
906,909129100,159434
907,909175080,60000
908,909178160,139500
909,909179020,197000
910,909250080,105000
911,909250220,135000
912,909251050,147500
913,909251170,137450
914,909252020,155000
915,909253010,177000
916,909253180,145000
917,909254010,137000
918,909257050,234000
919,909275080,205000
920,909276110,177500
921,909276200,160000
922,909277090,155000
923,909277100,163500
924,909278020,154900
925,909279010,205000
926,909282130,144800
927,909425060,174500
928,909425130,193000
929,909426090,158000
930,909427200,158500
931,909428240,224000
932,909451040,115000
933,909451100,137000
934,909451140,121000
935,909451180,124000
936,909452050,208000
937,909475040,315000
938,909475300,222000
939,910202070,147000
940,910204050,123000
941,910205020,78000
942,911103050,85000
943,911104060,75000
944,911370500,230000
945,912251110,57625
946,914465020,251000
947,914465040,239686
948,914465055,240000
949,914474070,215000
950,914475010,156450
951,914475030,173000
952,914476020,126000
953,914476380,173000
954,914476430,152000
955,916176030,137500
956,916176125,375000
957,916380070,315500
958,916382010,224500
959,916382100,410000
960,916382110,316500
961,916386140,201000
962,916403010,175000
963,916403200,204000
964,916403250,213500
965,916455070,220000
966,916460110,170000
967,916475040,315000
968,921128050,425000
969,923201100,139500
970,923202060,115000
971,923203110,162000
972,923203190,165000
973,923225360,91000
974,923225490,130000
975,923226270,86000
976,923227080,160000
977,923228110,80000
978,923228150,97000
979,923228230,88000
980,923230200,131900
981,923252075,131250
982,923275040,165500
983,923275140,112000
984,923276260,149000
985,923400025,143000
986,923400110,130000
987,924100040,196000
988,924100060,173000
989,526351030,176500
990,526353050,237500
991,526354070,206900
992,527105050,187500
993,527106050,165000
994,527106140,195500
995,527106150,192000
996,527107010,173000
997,527107090,177900
998,527107210,175000
999,527127140,286000
1000,527131110,247900
1001,527140090,180000
1002,527145090,180000
1003,527161010,181000
1004,527162180,183000
1005,527163100,188000
1006,527164120,194500
1007,527165010,185000
1008,527183030,189000
1009,527183060,188500
1010,527208010,355000
1011,527212050,325000
1012,527214030,387000
1013,527226020,115000
1014,527252080,334000
1015,527276040,133000
1016,527301170,215000
1017,527301245,226500
1018,527302050,175500
1019,527302070,181900
1020,527302185,235000
1021,527302210,220000
1022,527325070,272000
1023,527325240,161000
1024,527326130,175000
1025,527354160,185000
1026,527357110,146900
1027,527357180,292500
1028,527358120,180000
1029,527359030,159900
1030,527359070,205000
1031,527378020,157000
1032,527380240,306000
1033,527401130,133000
1034,527402060,151000
1035,527402130,111900
1036,527403360,123000
1037,527425035,111250
1038,527427110,181000
1039,527450110,103400
1040,527450250,100000
1041,527450520,100500
1042,527451060,106000
1043,527451290,85400
1044,527451400,89500
1045,527451550,111750
1046,527452150,140000
1047,527453160,143000
1048,527454120,148500
1049,527455270,110000
1050,528102030,394617
1051,528102110,426000
1052,528104050,385000
1053,528104080,446261
1054,528108150,317500
1055,528110080,372402
1056,528110110,417500
1057,528114040,383000
1058,528118030,390000
1059,528118090,460000
1060,528120130,379000
1061,528142020,250000
1062,528142140,316000
1063,528164060,615000
1064,528166120,412500
1065,528170070,284000
1066,528172080,284000
1067,528178070,421250
1068,528178090,370000
1069,528180110,336860
1070,528180140,367294
1071,528181010,192000
1072,528186030,274000
1073,528186080,266000
1074,528186130,370967
1075,528186160,234250
1076,528186170,219500
1077,528188090,155000
1078,528188150,154000
1079,528190010,207000
1080,528228345,195000
1081,528228405,219990
1082,528228445,191000
1083,528228465,159895
1084,528228540,187687
1085,528235020,179000
1086,528235120,193000
1087,528235180,190000
1088,528240040,176000
1089,528240050,188000
1090,528250030,213000
1091,528253020,217300
1092,528280130,186500
1093,528280180,226750
1094,528290010,184000
1095,528290090,176000
1096,528292060,225000
1097,528294060,185900
1098,528315060,284500
1099,528315110,315000
1100,528326030,250000
1101,528326110,291000
1102,528346050,350000
1103,528354100,279500
1104,528363020,290000
1105,528363110,350000
1106,528365060,341000
1107,528365080,287500
1108,528387050,271000
1109,528390020,301500
1110,528427010,235128
1111,528427070,214000
1112,528429050,232000
1113,528429070,240000
1114,528429080,264132
1115,528431060,245000
1116,528431080,227680
1117,528431120,257000
1118,528435020,297900
1119,528439010,247000
1120,528458030,212700
1121,528458050,250580
1122,528462040,182000
1123,528477040,226700
1124,528478030,250000
1125,528478040,250000
1126,528480060,339750
1127,528480160,205950
1128,528482020,256000
1129,528488140,230348
1130,528490080,207500
1131,531363060,141000
1132,531371070,188000
1133,531373060,192500
1134,531375050,146000
1135,531375110,159000
1136,531375120,155000
1137,531376010,173000
1138,531376070,170000
1139,531382090,182000
1140,531382110,163000
1141,531382120,193500
1142,531384030,189000
1143,531385060,190500
1144,531450030,175000
1145,531450090,179200
1146,531450170,187000
1147,531451020,193000
1148,531452140,153900
1149,532351050,128000
1150,532353050,144000
1151,532354150,135000
1152,532376170,115000
1153,532377020,119916
1154,532378200,142000
1155,532477030,192000
1156,532479020,140000
1157,533125080,290000
1158,533125140,372500
1159,533206050,196000
1160,533208080,171900
1161,533208140,178000
1162,533212050,165000
1163,533212140,146000
1164,533212150,146000
1165,533213070,179400
1166,533213120,172900
1167,533215020,300000
1168,533215030,285000
1169,533215040,290000
1170,533215070,305000
1171,533215080,328900
1172,533217050,160000
1173,533217060,170000
1174,533234020,223000
1175,533236060,170000
1176,533236070,200000
1177,533236090,345000
1178,533250050,245500
1179,533250110,217500
1180,533250160,324000
1181,533251120,162500
1182,533350090,150000
1183,533350120,290000
1184,534104100,205000
1185,534126090,174000
1186,534127210,183000
1187,534127230,150000
1188,534128050,145000
1189,534129060,215000
1190,534175140,140500
1191,534177180,240000
1192,534201240,141000
1193,534202130,147000
1194,534204030,135000
1195,534225110,145000
1196,534225120,142600
1197,534250010,135000
1198,534250335,170000
1199,534250370,299800
1200,534250410,185000
1201,534251280,173000
1202,534252090,178400
1203,534252270,176000
1204,534276190,98000
1205,534277060,109008
1206,534277070,135750
1207,534400030,155000
1208,534400060,180500
1209,534401130,174900
1210,534401190,140000
1211,534403050,145000
1212,534403080,179900
1213,534403100,168500
1214,534403260,140000
1215,534426040,145500
1216,534427040,142000
1217,534428020,141000
1218,534428100,153000
1219,534451080,72500
1220,534451170,52000
1221,534452060,118000
1222,534453140,87000
1223,534455030,141500
1224,534477080,119000
1225,534477090,141500
1226,534477270,165500
1227,534479150,112900
1228,535103050,201800
1229,535104020,163000
1230,535105030,139950
1231,535105060,174000
1232,535105090,165000
1233,535126140,227000
1234,535150210,135000
1235,535150280,124000
1236,535151160,140000
1237,535152200,136500
1238,535153140,185000
1239,535153150,163000
1240,535176100,166800
1241,535178060,139000
1242,535179060,166000
1243,535180100,136000
1244,535180120,133000
1245,535301080,116000
1246,535302130,137500
1247,535302140,130000
1248,535303030,180000
1249,535305030,139000
1250,535305160,110000
1251,535327230,100000
1252,535352080,118500
1253,535354200,146000
1254,535375140,89900
1255,535375160,114000
1256,535380050,140000
1257,535380110,86900
1258,535380140,139000
1259,535383100,106250
1260,535402120,171000
1261,535403010,139000
1262,535425060,186000
1263,535426260,157000
1264,535426350,148000
1265,535427070,242000
1266,535451010,116000
1267,535451050,94000
1268,535451230,98300
1269,535452120,127000
1270,535453020,159000
1271,535453040,125900
1272,535453210,155000
1273,535454150,138000
1274,535455060,112500
1275,535455080,105500
1276,535455090,127500
1277,535456050,130000
1278,535456070,150000
1279,535456100,109500
1280,535475020,140000
1281,535476370,167900
1282,535477090,136870
1283,902100020,143000
1284,902100030,73000
1285,902102060,157500
1286,902103150,122600
1287,902105010,111000
1288,902105020,256000
1289,902105130,64000
1290,902107030,139500
1291,902109080,118000
1292,902109110,200000
1293,902109120,119164
1294,902109160,122250
1295,902128075,120000
1296,902128150,155000
1297,902134100,78000
1298,902136110,95000
1299,902201120,115000
1300,902201140,147000
1301,902202090,140000
1302,902205070,46500
1303,902205090,112500
1304,902205140,107900
1305,902207120,65000
1306,902207220,295000
1307,902300110,139500
1308,902300215,153900
1309,902300260,132000
1310,902301140,98000
1311,902301150,114000
1312,902304060,130000
1313,902305080,129500
1314,902306120,129400
1315,902306130,161000
1316,902326060,163000
1317,902328040,128000
1318,902330010,122000
1319,902401010,116900
1320,902401120,325000
1321,902402260,55000
1322,902405070,184000
1323,902406020,110000
1324,902406090,131500
1325,902427045,97000
1326,902427150,115500
1327,903201030,138000
1328,903204010,108000
1329,903204095,79500
1330,903206070,153000
1331,903225050,109500
1332,903225140,124000
1333,903225160,106900
1334,903226060,164900
1335,903226150,119000
1336,903227080,120000
1337,903228040,157000
1338,903228060,105000
1339,903228090,113000
1340,903230110,115000
1341,903230120,79000
1342,903231080,123000
1343,903232030,81300
1344,903232090,162900
1345,903233080,150000
1346,903234090,123500
1347,903234100,129900
1348,903235010,128000
1349,903235100,68500
1350,903236010,127000
1351,903400180,207000
1352,903401020,184000
1353,903401030,162500
1354,903401050,145000
1355,903425420,130000
1356,903426160,160000
1357,903427090,161000
1358,903429010,127500
1359,903452025,93850
1360,903453050,136000
1361,903454100,141000
1362,903455030,120000
1363,903455140,127500
1364,903456130,127000
1365,903458110,89500
1366,903475020,125000
1367,903476110,79900
1368,903481010,85000
1369,903481100,82375
1370,903484020,135000
1371,904100020,124000
1372,904100040,134000
1373,904100160,135000
1374,904101170,134432
1375,904351280,127500
1376,905100020,148000
1377,905102170,129500
1378,905103030,157500
1379,905104080,109900
1380,905104110,145000
1381,905104180,130000
1382,905107280,153000
1383,905107380,120000
1384,905108170,152000
1385,905200090,108959
1386,905200100,95541
1387,905200160,80000
1388,905200510,149350
1389,905201020,144900
1390,905201110,185000
1391,905201120,165000
1392,905202230,235000
1393,905225040,140000
1394,905226030,108000
1395,905226110,145000
1396,905227050,152400
1397,905300020,144000
1398,905351089,173000
1399,905352030,192000
1400,905352070,245000
1401,905401045,241500
1402,905401060,256000
1403,905402090,177000
1404,905403060,125600
1405,905403150,155000
1406,905425125,240000
1407,905426030,260000
1408,905427050,185000
1409,905427070,235000
1410,905451330,159900
1411,905452070,99600
1412,905452120,134500
1413,905476120,119000
1414,905477050,107500
1415,905479110,125000
1416,905480150,79000
1417,905480240,95000
1418,906204150,262280
1419,906204280,260000
1420,906223110,226500
1421,906223140,225000
1422,906223220,229000
1423,906378190,177439
1424,906380030,248500
1425,906412010,475000
1426,906412050,395039
1427,906420130,228000
1428,906424010,225000
1429,906475100,195000
1430,906476030,200000
1431,907126030,155000
1432,907135020,144000
1433,907135260,145000
1434,907175080,226001
1435,907176010,215700
1436,907181120,207500
1437,907181140,193000
1438,907187030,188000
1439,907187080,191000
1440,907192130,221000
1441,907194020,231500
1442,907196040,235000
1443,907196050,223500
1444,907200110,130250
1445,907201060,149900
1446,907202010,158000
1447,907202160,147000
1448,907202190,143195
1449,907202240,163000
1450,907203090,110000
1451,907227050,127000
1452,907227300,124900
1453,907250020,230000
1454,907251090,237000
1455,907253060,235000
1456,907253110,230500
1457,907254020,230000
1458,907254090,222500
1459,907255020,287000
1460,907255030,274000
1461,907255060,300000
1462,907260010,255900
1463,907262030,224900
1464,907262060,240000
1465,907262070,183000
1466,907265100,207000
1467,907285080,210000
1468,907290150,136500
1469,907290250,145000
1470,907295020,208900
1471,907295100,185000
1472,907405020,214000
1473,907405140,208500
1474,907412040,186500
1475,907412070,210000
1476,907412080,185900
1477,907412090,179900
1478,907418010,218836
1479,907418040,193000
1480,907420080,189000
1481,907425010,149300
1482,907425015,141000
1483,907425030,149000
1484,907425035,144500
1485,908102030,85000
1486,908102040,145900
1487,908102140,123000
1488,908102260,147500
1489,908103260,165000
1490,908103280,135000
1491,908127120,108000
1492,908128050,137500
1493,908128110,165400
1494,908151040,147000
1495,908152110,160500
1496,908152270,176000
1497,908154080,284700
